day,language,gps,wo_gps
2017-01-04,hu,88,88
2017-01-04,id,20878,20878
2017-01-04,in,9,9
2017-01-04,it,1840,1840
2017-01-04,ja,673,673
2017-01-04,ko,57,57
2017-01-04,lv,5,5
2017-01-04,mr,1,1
2017-01-04,ms,8,8
2017-01-04,msa,62,62
2017-01-04,nb,19,19
2017-01-04,nl,6079,6079
2017-01-04,no,113,113
2017-01-04,pl,274,274
2017-01-04,pt,1356,1356
2017-01-04,pt-PT,2,2
2017-01-04,ro,24,24
2017-01-04,ru,2296,2296
2017-01-04,sr,7,7
2017-01-04,sv,919,919
2017-01-04,ta,1,1
2017-01-04,th,102,102
2017-01-04,tr,5978,5978
2017-01-04,uk,7,7
2017-01-04,ur,6,6
2017-01-04,vi,13,13
2017-01-04,xx-lc,14,14
2017-01-04,zh-CN,28,28
2017-01-04,zh-TW,4,4
2017-01-04,zh-cn,60,60
2017-01-04,zh-tw,38,38
2017-01-05,ar,448053,448053
2017-01-05,bg,4,4
2017-01-05,bn,2,2
2017-01-05,ca,207,207
2017-01-05,cs,96,96
2017-01-05,cy,4,4
2017-01-05,da,148,148
2017-01-05,de,4660,4660
2017-01-05,el,90,90
2017-01-05,en,343192,343192
2017-01-05,en-AU,49,49
2017-01-05,en-GB,1498,1498
2017-01-05,en-IN,6,6
2017-01-05,en-SS,1,1
2017-01-05,en-US,7,7
2017-01-05,en-gb,10976,10976
2017-01-05,es,15772,15772
2017-01-05,es-MX,2,2
2017-01-05,eu,14,14
2017-01-05,fa,136,136
2017-01-05,fi,166,166
2017-01-05,fil,2,2
2017-01-05,fr,27435,27435
2017-01-05,fr-CA,5,5
2017-01-05,ga,4,4
2017-01-05,gl,16,16
2017-01-05,gu,1,1
2017-01-05,he,271,271
2017-01-05,hi,37,37
2017-01-05,hr,15,15
2017-01-05,hu,83,83
2017-01-05,id,14000,14000
2017-01-05,in,4,4
2017-01-05,it,1527,1527
2017-01-05,ja,600,600
2017-01-05,kn,1,1
2017-01-05,ko,53,53
2017-01-05,lv,6,6
2017-01-05,ms,7,7
2017-01-05,msa,93,93
2017-01-05,nb,17,17
2017-01-05,nl,4836,4836
2017-01-05,no,79,79
2017-01-05,pl,253,253
2017-01-05,pt,1387,1387
2017-01-05,pt-PT,1,1
2017-01-05,ro,43,43
2017-01-05,ru,1235,1235
2017-01-05,sk,1,1
2017-01-05,sl,2,2
2017-01-05,so,1,1
2017-01-05,sr,22,22
2017-01-05,sv,875,875
2017-01-05,ta,2,2
2017-01-05,th,94,94
2017-01-05,tr,5055,5055
2017-01-05,uk,12,12
2017-01-05,ur,6,6
2017-01-05,vi,19,19
2017-01-05,xx-lc,18,18
2017-01-05,zh-CN,5,5
2017-01-05,zh-TW,4,4
2017-01-05,zh-cn,116,116
2017-01-05,zh-tw,16,16
2017-01-06,ar,405200,405200
2017-01-06,bg,6,6
2017-01-06,bn,2,2
2017-01-06,ca,274,274
2017-01-06,cs,88,88
2017-01-06,cy,5,5
2017-01-06,da,120,120
2017-01-06,de,4254,4254
2017-01-06,el,92,92
2017-01-06,en,303902,303902
2017-01-06,en-AU,35,35
2017-01-06,en-GB,1184,1184
2017-01-06,en-IN,4,4
2017-01-06,en-US,2,2
2017-01-06,en-gb,9108,9108
2017-01-06,es,18966,18966
2017-01-06,es-MX,21,21
2017-01-06,eu,7,7
2017-01-06,fa,207,207
2017-01-06,fi,95,95
2017-01-06,fr,24938,24938
2017-01-06,ga,3,3
2017-01-06,gl,18,18
2017-01-06,he,187,187
2017-01-06,hi,44,44
2017-01-06,hr,23,23
2017-01-06,hu,68,68
2017-01-06,id,14998,14998
2017-01-06,in,2,2
2017-01-06,it,1342,1342
2017-01-06,ja,445,445
2017-01-06,kn,2,2
2017-01-06,ko,72,72
2017-01-06,lv,5,5
2017-01-06,ms,10,10
2017-01-06,msa,95,95
2017-01-06,nb,18,18
2017-01-06,nl,3422,3422
2017-01-06,no,76,76
2017-01-06,pl,387,387
2017-01-06,pt,912,912
2017-01-06,ro,37,37
2017-01-06,ru,1150,1150
2017-01-06,sl,1,1
2017-01-06,sr,16,16
2017-01-06,sv,671,671
2017-01-06,ta,2,2
2017-01-06,th,93,93
2017-01-06,tr,4319,4319
2017-01-06,uk,3,3
2017-01-06,ur,5,5
2017-01-06,vi,5,5
2017-01-06,xx-lc,7,7
2017-01-06,zh-CN,5,5
2017-01-06,zh-TW,2,2
2017-01-06,zh-cn,34,34
2017-01-06,zh-tw,20,20
2017-01-07,ar,237416,247400
2017-01-07,bg,2,3
2017-01-07,bn,2,2
2017-01-07,ca,464,489
2017-01-07,cs,73,75
2017-01-07,da,186,190
2017-01-07,de,4605,4770
2017-01-07,el,119,124
2017-01-07,en,240684,249454
2017-01-07,en-AU,30,30
2017-01-07,en-GB,971,1009
2017-01-07,en-IN,5,5
2017-01-07,en-US,1,1
2017-01-07,en-gb,6774,7057
2017-01-07,es,15021,15591
2017-01-07,es-MX,3,3
2017-01-07,eu,27,27
2017-01-07,fa,82,85
2017-01-07,fi,96,99
2017-01-07,fil,2,2
2017-01-07,fr,20071,20863
2017-01-07,fr-CA,1,1
2017-01-07,ga,4,4
2017-01-07,gl,33,33
2017-01-07,he,113,123
2017-01-07,hi,60,62
2017-01-07,hr,9,10
2017-01-07,hu,61,62
2017-01-07,id,9069,9529
2017-01-07,in,9,9
2017-01-07,it,1175,1223
2017-01-07,ja,416,438
2017-01-07,kn,1,1
2017-01-07,ko,64,70
2017-01-07,lv,8,8
2017-01-07,mr,2,2
2017-01-07,ms,5,5
