f_name,time,orig,message,eng,clean,stem,label,gps
../data/external/scrape/tweets_immigrant_34489.csv,24.2178099155,503900.0,502571.0,237995.0,237995.0,237993.0,1644.0,1644.0
../data/external/scrape/tweets_immigrant_34490.csv,25.660241127,546100.0,544438.0,235247.0,235247.0,235247.0,953.0,953.0
../data/external/scrape/tweets_immigrant_34491.csv,21.2725052834,534986.0,533493.0,209827.0,209827.0,209827.0,1173.0,1173.0
../data/external/scrape/tweets_immigrant_34492.csv,25.5795547962,499337.0,497998.0,236664.0,236664.0,236664.0,1250.0,1250.0
../data/external/scrape/tweets_immigrant_34493.csv,25.9885933399,514500.0,512972.0,241347.0,241347.0,241346.0,1216.0,1216.0
../data/external/scrape/tweets_immigrant_34494.csv,44.0248663425,663459.0,661226.0,385811.0,385811.0,385810.0,4937.0,4937.0
../data/external/scrape/tweets_immigrant_34495.csv,43.1147296429,799600.0,797924.0,396564.0,396564.0,396564.0,2954.0,2954.0
../data/external/scrape/tweets_immigrant_34496.csv,44.4104998112,681873.0,679741.0,393920.0,393920.0,393916.0,2563.0,2563.0
../data/external/scrape/tweets_immigrant_34497.csv,34.6294076443,643300.0,641847.0,318460.0,318460.0,318457.0,3347.0,3347.0
../data/external/scrape/tweets_immigrant_34498.csv,33.228174448,560989.0,559223.0,295796.0,295796.0,295796.0,3223.0,3223.0
../data/external/scrape/tweets_immigrant_34499.csv,27.1319577694,479300.0,478066.0,244002.0,244002.0,244002.0,2269.0,2269.0
../data/external/scrape/tweets_immigrant_34500.csv,26.8186917305,523300.0,521990.0,251187.0,251187.0,251185.0,1355.0,1355.0
../data/external/scrape/tweets_immigrant_34501.csv,22.78444314,447834.0,446904.0,209208.0,209208.0,209208.0,1143.0,1143.0
../data/external/scrape/tweets_immigrant_34502.csv,27.8723104,504306.0,502823.0,251544.0,251544.0,251541.0,1374.0,1374.0
../data/external/scrape/tweets_immigrant_34503.csv,22.6026515961,440911.0,439741.0,207267.0,207267.0,207267.0,999.0,999.0
../data/external/scrape/tweets_immigrant_34504.csv,33.2550048828,573200.0,571277.0,312083.0,312083.0,312082.0,1294.0,1294.0
../data/external/scrape/tweets_immigrant_34505.csv,31.0136914253,556151.0,554558.0,284588.0,284588.0,284588.0,1068.0,1068.0
../data/external/scrape/tweets_immigrant_34506.csv,25.8592238426,395473.0,393826.0,239514.0,239514.0,239513.0,1406.0,1406.0
../data/external/scrape/tweets_immigrant_34507.csv,25.6140730381,519745.0,518502.0,243100.0,243100.0,243100.0,1262.0,1262.0
../data/external/scrape/tweets_immigrant_34508.csv,28.9306106567,559100.0,557536.0,262152.0,262152.0,262152.0,866.0,866.0
../data/external/scrape/tweets_immigrant_34509.csv,25.5453779697,539108.0,537872.0,240931.0,240931.0,240931.0,743.0,743.0
../data/external/scrape/tweets_immigrant_34510.csv,30.3205754757,591633.0,589955.0,283509.0,283509.0,283508.0,1111.0,1111.0
../data/external/scrape/tweets_immigrant_34511.csv,25.8899576664,534156.0,533052.0,240011.0,240011.0,240011.0,1126.0,1126.0
../data/external/scrape/tweets_immigrant_34512.csv,24.7927200794,459962.0,458388.0,240934.0,240934.0,240933.0,1210.0,1210.0
../data/external/scrape/tweets_immigrant_34513.csv,24.5872354507,488130.0,486887.0,219736.0,219736.0,219735.0,1685.0,1685.0
../data/external/scrape/tweets_immigrant_34514.csv,21.4502615929,401800.0,400735.0,195134.0,195134.0,195134.0,1453.0,1453.0
